,Remaining State
0,california
1,colorado
2,connecticut
3,delaware
4,florida
5,georgia
6,hawaii
7,idaho
8,illinois
9,indiana
10,iowa
11,kansas
12,kentucky
13,louisiana
14,maine
15,maryland
16,massachusetts
17,michigan
18,minnesota
19,mississippi
20,missouri
21,montana
22,nebraska
23,nevada
24,new hampshire
25,new jersey
26,new mexico
27,new york
28,north carolina
29,north dakota
30,oklahoma
31,oregon
32,pennsylvania
33,rhode island
34,south carolina
35,south dakota
36,tennessee
37,texas
38,utah
39,vermont
40,virginia
41,washington
42,west virginia
43,wisconsin
44,wyoming
